taxon_name	biomes	Boreal Forests/Taiga	Deserts & Xeric Shrublands	Flooded Grasslands & Savannas	Mangroves	Mediterranean Forests, Woodlands & Scrub	Montane Grasslands & Shrublands	Temperate Broadleaf & Mixed Forests	Temperate Conifer Forests	Temperate Grasslands, Savannas & Shrublands	Tropical & Subtropical Coniferous Forests	Tropical & Subtropical Dry Broadleaf Forests	Tropical & Subtropical Grasslands, Savannas & Shrublands	Tropical & Subtropical Moist Broadleaf Forests	Tundra
Damaliscus lunatus	1	0	0	0	0	0	0	0	0	0	0	0	6	0	0
Damaliscus pygargus	2	0	0	0	0	6	1	0	0	0	0	0	0	0	0
Diceros bicornis	2	0	0	1	0	0	0	0	0	0	0	0	6	0	0
Equus asinus	3	0	1	0	0	0	0	1	0	0	0	0	2	0	0
Equus grevyi	1	0	0	0	0	0	0	0	0	0	0	0	10	0	0
Equus hemionus	1	0	9	0	0	0	0	0	0	0	0	0	0	0	0
Equus kiang	1	0	0	0	0	0	10	0	0	0	0	0	0	0	0
Equus quagga	2	0	0	0	0	0	0	0	0	0	0	0	16	1	0
Equus zebra	2	0	3	0	0	1	0	0	0	0	0	0	0	0	0
Eudorcas rufifrons	1	0	0	0	0	0	0	0	0	0	0	0	10	0	0
Eudorcas thomsonii	1	0	0	0	0	0	0	0	0	0	0	0	11	0	0
Gazella bennettii	3	0	4	0	0	0	0	0	0	0	0	4	0	1	0
Gazella dorcas	1	0	11	0	0	0	0	0	0	0	0	0	0	0	0
Gazella gazella	2	0	3	0	0	8	0	0	0	0	0	0	0	0	0
Gazella subgutturosa	2	0	7	0	0	0	0	1	0	0	0	0	0	0	0
Giraffa camelopardalis	3	0	1	1	0	0	0	0	0	0	0	0	6	0	0
Hippopotamus amphibius	2	0	0	0	0	0	0	0	0	0	0	0	5	1	0
Hippotragus equinus	1	0	0	0	0	0	0	0	0	0	0	0	10	0	0
Hippotragus niger	1	0	0	0	0	0	0	0	0	0	0	0	11	0	0
Hydropotes inermis	1	0	0	0	0	0	0	9	0	0	0	0	0	0	0
Hyemoschus aquaticus	1	0	0	0	0	0	0	0	0	0	0	0	0	9	0
Hylochoerus meinertzhageni	2	0	0	0	0	0	0	0	0	0	0	0	1	8	0
Kobus ellipsiprymnus	2	0	0	1	0	0	0	0	0	0	0	0	6	0	0
Kobus kob	1	0	0	0	0	0	0	0	0	0	0	0	10	0	0
Kobus leche	2	0	0	3	0	0	0	0	0	0	0	0	3	0	0
Kobus megaceros	1	0	0	10	0	0	0	0	0	0	0	0	0	0	0
Kobus vardonii	1	0	0	0	0	0	0	0	0	0	0	0	12	0	0
Lama glama	4	0	0	0	0	3	1	5	0	4	0	0	0	0	0
Litocranius walleri	1	0	0	0	0	0	0	0	0	0	0	0	12	0	0
Madoqua guentheri	2	0	0	0	0	0	1	0	0	0	0	0	9	0	0
Madoqua kirkii	4	0	1	1	0	0	0	0	0	0	0	0	8	1	0
Mazama americana	2	0	0	0	0	0	0	0	0	0	0	0	1	12	0
Mazama gouazoubira	2	0	0	0	0	0	0	0	0	0	0	0	5	5	0
Mazama nana	1	0	0	0	0	0	0	0	0	0	0	0	0	10	0
Mazama pandora	1	0	0	0	0	0	0	0	0	0	0	0	0	10	0
Mazama temama	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0
Muntiacus muntjak	4	0	0	0	0	0	0	0	0	0	1	3	1	5	0
Muntiacus reevesi	1	0	0	0	0	0	0	13	0	0	0	0	0	0	0
Nanger granti	1	0	0	0	0	0	0	0	0	0	0	0	12	0	0
Nanger soemmerringii	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0
Neotragus batesi	2	0	0	0	0	0	0	0	0	0	0	0	1	9	0
Neotragus pygmaeus	1	0	0	0	0	0	0	0	0	0	0	0	0	13	0
Odocoileus hemionus	4	0	1	0	0	4	0	0	4	2	0	0	0	0	0
Odocoileus virginianus	5	0	0	0	0	0	0	9	0	3	1	1	0	1	0
Oreamnos americanus	2	1	0	0	0	0	0	0	6	0	0	0	0	0	0
Oreotragus oreotragus	2	0	2	0	0	0	0	0	0	0	0	0	6	0	0
Oryx beisa	1	0	0	0	0	0	0	0	0	0	0	0	13	0	0
Oryx gazella	2	0	7	0	0	0	0	0	0	0	0	0	2	0	0
Ourebia ourebi	1	0	0	0	0	0	0	0	0	0	0	0	10	0	0
Ovibos moschatus	2	1	0	0	0	0	0	0	0	0	0	0	0	0	10
Ovis ammon	4	0	2	0	0	0	6	0	2	1	0	0	0	0	0
Ovis aries	3	0	0	0	0	3	0	4	1	0	0	0	0	0	0
Ovis canadensis	2	0	4	0	0	0	0	0	5	0	0	0	0	0	0
Ovis dalli	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8
Pecari tajacu	3	0	5	0	0	0	0	0	0	0	0	1	0	6	0
Pelea capreolus	2	0	0	0	0	8	0	0	0	0	0	0	2	0	0
Phacochoerus africanus	1	0	0	0	0	0	0	0	0	0	0	0	11	0	0
Philantomba maxwellii	1	0	0	0	0	0	0	0	0	0	0	0	0	10	0
Philantomba monticola	3	0	0	0	1	0	0	0	0	0	0	0	2	4	0
Potamochoerus larvatus	3	0	0	0	0	2	0	0	0	0	0	0	2	1	0
Potamochoerus porcus	1	0	0	0	0	0	0	0	0	0	0	0	0	8	0
Procapra picticaudata	1	0	0	0	0	0	10	0	0	0	0	0	0	0	0
Pseudois nayaur	1	0	0	0	0	0	8	0	0	0	0	0	0	0	0
Pudu mephistophiles	1	0	0	0	0	0	0	0	0	0	0	0	0	10	0
Pudu puda	1	0	0	0	0	0	0	10	0	0	0	0	0	0	0
Rangifer tarandus	2	2	0	0	0	0	0	0	0	0	0	0	0	0	10
Raphicerus campestris	3	0	2	0	0	1	0	0	0	0	0	0	3	0	0
Raphicerus melanotis	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0
Raphicerus sharpei	1	0	0	0	0	0	0	0	0	0	0	0	8	0	0
Redunca arundinum	3	0	0	1	0	0	0	0	0	0	0	0	3	3	0
Redunca fulvorufula	4	0	1	0	0	1	3	0	0	0	0	0	3	0	0
Redunca redunca	1	0	0	0	0	0	0	0	0	0	0	0	10	0	0
Rhinoceros unicornis	2	0	0	0	0	0	0	0	0	0	0	0	3	4	0
Rupicapra pyrenaica	1	0	0	0	0	0	0	10	0	0	0	0	0	0	0
Rupicapra rupicapra	1	0	0	0	0	0	0	0	9	0	0	0	0	0	0
Rusa marianna	2	0	0	0	0	0	0	0	0	0	1	0	0	9	0
Rusa unicolor	2	0	0	0	0	0	0	0	0	0	0	6	0	3	0
Sus barbatus	2	0	0	0	2	0	0	0	0	0	0	0	0	10	0
Sus scrofa	2	0	0	0	0	4	0	3	0	0	0	0	0	0	0
Sylvicapra grimmia	1	0	0	0	0	0	0	0	0	0	0	0	12	0	0
Syncerus caffer	2	0	0	0	0	0	0	0	0	0	0	0	13	1	0
Tapirus bairdii	2	0	0	0	0	0	0	0	0	0	0	0	1	9	0
Tapirus pinchaque	2	0	0	0	0	0	5	0	0	0	0	0	0	5	0
Tapirus terrestris	1	0	0	0	0	0	0	0	0	0	0	0	0	10	0
Taurotragus oryx	3	0	2	0	0	1	0	0	0	0	0	0	9	0	0
Tayassu pecari	2	0	0	0	0	0	0	0	0	0	0	0	1	6	0
Tragelaphus angasii	2	0	0	0	0	0	0	0	0	0	0	0	8	5	0
Tragelaphus buxtoni	2	0	0	0	0	0	7	0	0	0	0	0	0	2	0
Tragelaphus eurycerus	2	0	0	0	0	0	0	0	0	0	0	0	1	10	0
Tragelaphus imberbis	1	0	0	0	0	0	0	0	0	0	0	0	9	0	0
Tragelaphus scriptus	2	0	0	0	0	0	0	0	0	0	0	0	7	1	0
Tragelaphus spekii	2	0	0	0	0	0	0	0	0	0	0	0	4	5	0
Tragelaphus strepsiceros	2	0	0	0	0	2	0	0	0	0	0	0	5	0	0
Tragulus kanchil	1	0	0	0	0	0	0	0	0	0	0	0	0	10	0
Tragulus napu	2	0	0	0	1	0	0	0	0	0	0	0	0	9	0
Vicugna vicugna	2	0	2	0	0	0	6	0	0	0	0	0	0	0	0
